event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ARG6494,2020-12-31,2020,3,Demonstrations,Protests,Peaceful protest,Protesters (Argentina),Labor Group (Argentina),6,,,0,60,,32,South America,Argentina,Santa Fe,San Lorenzo,,San Lorenzo,-32.7473,-60.7354,2,La Capital (Argentina),Subnational,"Around 31 December 2020 (end of month), around San Lorenzo municipality (Santa Fe), dismissed workers of Guerrero Motos company and their relatives protested against the layoffs. In December, the company dismissed 23 workers.",0,crowd size=no report,1612215945
ARG6333,2020-12-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Argentina),Teachers (Argentina),6,,,0,60,,32,South America,Argentina,Mendoza,San Rafael,,San Rafael,-34.6129,-68.3348,1,Diario San Rafael,National,"On 30 December 2020, in San Rafael (Mendoza), teachers carried out a motorcade to demand a salary raise.",0,crowd size=no report,1610401743
ARG6335,2020-12-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Argentina),Women (Argentina),6,,,0,60,,32,South America,Argentina,La Pampa,Capital,,Santa Rosa,-36.6205,-64.2899,1,La Arena,Subnational,"On 30 December 2020, in Santa Rosa (La Pampa), a group gathered in the stairs of the National University of La Pampa to support and demand the approval of the free abortion bill, which was being debated in the Senate and was approved in the early hours.",0,crowd size=no report,1618492870
ARG6324,2020-12-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Argentina),Fishers (Argentina),6,,,0,60,,32,South America,Argentina,Santa Fe,San Jeronimo,,Arocena,-32.0790,-60.9757,2,La Capital (Argentina),Subnational,"On 30 December 2020, around Arocena municipality (Santa Fe), fishers blocked Rosario-Santa Fe highway to protest against a Rosario Justice's resolution that forbade fishing until 31 March. Those workers were questioning the measure, since it would affect their work and incomes.",0,crowd size=no report,1610401753
ARG6328,2020-12-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Argentina),Fishers (Argentina),6,,,0,60,,32,South America,Argentina,Santa Fe,San Jeronimo,,Coronda,-31.9745,-60.9160,2,La Capital (Argentina),Subnational,"On 30 December 2020, around Coronda municipality (Santa Fe), fishers blocked Rosario-Santa Fe highway to protest against a Rosario Justice's resolution that forbade fishing until 31 March. Those workers were questioning the measure, since it would affect their work and incomes.",0,crowd size=no report,1610401753
ARG6334,2020-12-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Argentina),Fishers (Argentina),6,,,0,60,,32,South America,Argentina,Santa Fe,La Capital,,Santa Fe,-31.6295,-60.7010,2,La Capital (Argentina),Subnational,"On 30 December 2020, around Santa Fe municipality (Santa Fe), fishers blocked National Road 168 and carried out a motorcade towards the Ministry of Production to protest against a Rosario Justice's resolution that forbade fishing until 31 March. Those workers were questioning the measure, since it would affect their work and incomes.",0,crowd size=no report,1618492872
ARG6332,2020-12-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Argentina),Women (Argentina),6,,,0,60,,32,South America,Argentina,Santa Fe,Rosario,,Rosario,-32.9528,-60.6473,1,La Capital (Argentina),Subnational,"On 30 December 2020, in Rosario (Santa Fe), for the second consecutive day, a group gathered in San Martin square to support and demand the approval of the free abortion bill, which was being debated in the Senate since the previous day and was approved in the early hours.",0,crowd size=no report,1610401753
ARG6330,2020-12-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Argentina),,6,,,0,60,,32,South America,Argentina,Santa Fe,Rosario,,Funes,-32.9168,-60.8106,1,La Capital (Argentina),Subnational,"On 30 December 2020, in Funes (Santa Fe), a group protested and blocked National Road 9 to demand justice for a boy who died electrocuted on a gate at the Thomys Drugstore in November.",0,crowd size=no report,1610401753
ARG6331,2020-12-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Argentina),Fishers (Argentina),6,,,0,60,,32,South America,Argentina,Santa Fe,San Jeronimo,,Maciel,-32.4571,-60.8922,2,La Capital (Argentina),Subnational,"On 30 December 2020, around Maciel municipality (Santa Fe), fishers blocked Rosario-Santa Fe highway to protest against a Rosario Justice's resolution that forbade fishing until 31 March. Those workers were questioning the measure, since it would affect their work and incomes.",0,crowd size=no report,1610401753
ARG6327,2020-12-30,2020,1,Demonstrations,Riots,Violent demonstration,Rioters (Argentina),Labor Group (Argentina); Rioters (Chile); Labor Group (Chile),5,Rioters (Argentina),Labor Group (Argentina),5,55,,32,South America,Argentina,Santa Cruz,Deseado,,Caleta Olivia,-46.4445,-67.5223,1,Tiempo Sur (Argentina),Subnational,"On 30 December 2020, in Caleta Olivia (Santa Cruz), around 30 Argentines and Chileans truck drivers demonstrated in front of the City Hall to complain about the municipal workers' blockade of a road. The group marched towards the police station. The municipal workers, who have been blocking the road to demand a salary raise, engaged in an argument and a clash with the truck drivers, leading to injuries. The workers suspended the blockade hours later, after reaching an agreement with the local government.",0,crowd size=no report,1610401758
ARG6326,2020-12-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Argentina),,6,,,0,60,,32,South America,Argentina,Ciudad Autonoma de Buenos Aires,,,Buenos Aires,-34.6141,-58.4579,1,La Arena,National,"On 30 December 2020, in Buenos Aires (Ciudad Autonoma de Buenos Aires), relatives, friends and survivors of the Republica Cromanon nightclub fire marched from Mayo square towards Once neighborhood on its 16th anniversary to honor the victims and remember the case. In the beginning of the night, a new march took place in Mayo square.",0,crowd size=no report,1645032566
