event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
TUR14544,2020-12-31,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (Turkey),Labor Group (Turkey),6,Police Forces of Turkey (2016-),,1,16,,792,Middle East,Turkey,Istanbul,Besiktas,,Besiktas,41.0454,29.0099,1,Mezopotamya Agency; Human Rights Foundation of Turkey,Other-National,"On 31 December 2020, former employees of a bankrupt electronics chain brand held a protest outside Bogazici university in Besiktas, Istanbul to demand their salary payments pending since the bankruptcy. Police intervened in the event and detained 6 protesters.",0,crowd size=no report,1610383558
TUR14650,2020-12-31,2020,1,Political violence,Explosions/Remote violence,Grenade,HBDH: Peoples United Revolutionary Movement,,3,,,0,30,,792,Middle East,Turkey,Istanbul,Arnavutkoy,,Arnavutkoy,41.1836,28.7402,2,ANF News; Sozcu; Peoples' United Revolutionary Movement; Takvim,Other-National,"On 31 December 2020, HBDH militants attacked a store of a chain supermarket in Islambey neighborhood of Arnavutkoy, Istanbul by throwing an explosive device, inflicting material damage. The attack occurred in the night while the store was closed and no interaction with the civilians was reported.",0,,1610383559
TUR14804,2020-12-31,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Women (Turkey),6,,,0,60,,792,Middle East,Turkey,Adana,Seyhan,,Adana,37.0017,35.3289,1,ANF News; Mezopotamya Agency,National-International,"On 31 December 2020, women's rights groups held a demonstration in Adana town center to protest femicides and all forms of violence targeting women.",0,crowd size=no report,1610383559
TUR14806,2020-12-31,2020,1,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Turkey (2016-) Gendarmerie,,1,PKK: Kurdistan Workers Party,,2,12,,792,Middle East,Turkey,Bingol,Bingol,,Bingol,38.8847,40.4939,2,Aydinlik; Ihlas News Agency; Haber 7,National,"Weapons seizure: On 31 December 2020, Turkish gendarmerie forces seized a number of weapons allegedly belonging to PKK, during the security operations carried out in a central district of Bingol. The weapons seized included 5 hand grenades, 1905 rounds of ammunition and various other supplies.",0,,1610383559
TUR14811,2020-12-31,2020,1,Strategic developments,Strategic developments,Change to group/activity,Government of Turkey (2016-),,1,,,0,10,,792,Middle East,Turkey,Hakkari,Hakkari,,Hakkari,37.5744,43.7408,3,Mezopotamya Agency; ANF News; Cumhuriyet; Haber Ercis,Subnational-National,"Security measures: On 31 December 2020, Hakkari Governor's Office issued a ban on all forms of marches, protests, press conferences, sit-ins and other political gatherings in the province for 15 days as part of the measures to curb the coronavirus outbreak.",0,,1610383559
TUR14813,2020-12-31,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Women (Turkey),6,,,0,60,,792,Middle East,Turkey,Hatay,Antakya,,Hatay,36.2066,36.1572,1,Mezopotamya Agency; ANF News,National-International,"On 31 December 2020, women's rights groups held a demonstration in Hatay town center to protest femicides and all forms of violence targeting women.",0,crowd size=no report,1618492828
TUR14816,2020-12-31,2020,1,Strategic developments,Strategic developments,Looting/property destruction,HBDH: Peoples United Revolutionary Movement,,3,Civilians (Turkey),Labor Group (Turkey); AKP: Justice and Development Party,7,37,,792,Middle East,Turkey,Bursa,Osmangazi,,Osmangazi,40.2259,29.0439,2,ANF News; Peoples' United Revolutionary Movement,Other-International,"Property destruction: On 31 December 2020, HBDH militants carried out an arson attack in Osmangazi district of Bursa, inflicting major material damage to a factory, due to the owner's alleged ties with AKP.",0,,1610383559
TUR14818,2020-12-31,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),HDP: Peoples Democratic Party; Government of Turkey (2016-); TJA: Free Women's Movement; Women (Turkey); KESK: Confederation of Public Workers Unions; Labor Group (Turkey),6,,,0,60,,792,Middle East,Turkey,Sanliurfa,Karakopru,,Sanliurfa,37.1671,38.7939,1,Mezopotamya Agency; ANF News,National-International,"On 31 December 2020, HDP, TJA and KESK staged a demonstration in Sanliurfa town center to protest femicides and all forms of violence targeting women. HDP MPs attended the event.",0,crowd size=no report,1618492829
TUR14819,2020-12-31,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),,6,,,0,60,,792,Middle East,Turkey,Sirnak,Sirnak,,Sirnak,37.5139,42.4543,1,A Haber; Ihlas News Agency; Haberler,National,"On 31 December 2020, families who claim their children have been kidnapped by the PKK held a protest outside the HDP's provincial building in Sirnak city center.",0,crowd size=no report,1610383559
TUR14820,2020-12-31,2020,2,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Turkey (2016-) Gendarmerie,,1,PKK: Kurdistan Workers Party,,2,12,,792,Middle East,Turkey,Tunceli,Tunceli,,Tunceli,39.0992,39.5435,2,Haber 7; Anadolu Agency,National,"Property destruction: Around 31 December 2020 (as reported), Turkish Gendarmerie forces destroyed 4 PKK shelters together with the supplies and weapons found inside during the security operations carried out in the central district of Tunceli.",0,,1610383559
TUR14810,2020-12-31,2020,2,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Turkey (2016-) Gendarmerie,,1,PKK: Kurdistan Workers Party,,2,12,,792,Middle East,Turkey,Bingol,Genc,,Genc,38.7506,40.5542,2,Anadolu Agency,National,"Weapons seizure: Around 31 December 2020 (as reported), Turkish gendarmerie forces seized a number of weapons allegedly belonging to PKK, during the security operations carried out in the Genc district of Bingol. The weapons seized included 60 kilograms of explosives and various other supplies.",0,,1610383560
TUR14814,2020-12-31,2020,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Jinen Tirejen Roje,,3,,,0,30,,792,Middle East,Turkey,Istanbul,Kartal,,Kartal,40.9050,29.1886,2,ANF News,International,"On 31 December 2020, Jinen Tirejen Roje initiative carried out a remote explosive attack in Kartal district of Istanbul targeting a supermarket and 3 vehicles. No interaction with civilians was reported.",0,,1610383560
